"c_name","source","r_id","r_year","r_month","r_swt","r_female","p_ideology","p_interest","p_economy","core_values","d_essential","c_govern","i_trust"
"Algeria","ArabBarometer",1,"2020","08",4,0,NA,5,3,3,NA,NA,1
"Algeria","ArabBarometer",2,"2020","08",0.0296043074627269,1,NA,2,2,3,NA,NA,3
"Algeria","ArabBarometer",3,"2020","08",0.465118765151636,0,NA,3,2,3,NA,NA,1
"Algeria","ArabBarometer",4,"2020","08",1.23903811466,0,NA,1,3,3,NA,NA,1
"Algeria","ArabBarometer",5,"2020","08",3.54329199629732,1,NA,1,4,1,NA,NA,3
"Algeria","ArabBarometer",6,"2020","08",0.215046735250972,1,NA,2,3,3,NA,NA,1
"Algeria","ArabBarometer",8,"2020","08",1.06571596052429,0,NA,1,2,2,NA,NA,4
"Algeria","ArabBarometer",10,"2020","08",0.55903358617162,1,NA,2,2,2,NA,NA,2
"Algeria","ArabBarometer",11,"2020","08",0.518535325840315,1,NA,3,2,1,NA,NA,3
"Algeria","ArabBarometer",17,"2020","08",0.106192313409466,0,NA,1,3,3,NA,NA,1
"Algeria","ArabBarometer",18,"2020","08",0.0799504084924744,1,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",20,"2020","08",1.01996247168311,1,NA,1,4,1,NA,NA,4
"Algeria","ArabBarometer",21,"2020","08",0.310437459403291,1,NA,2,3,3,NA,NA,3
"Algeria","ArabBarometer",22,"2020","08",0.209264206008933,0,NA,1,4,3,NA,NA,4
"Algeria","ArabBarometer",23,"2020","08",0.969870188788705,1,NA,1,3,2,NA,NA,3
"Algeria","ArabBarometer",25,"2020","08",0.0437605662034421,1,NA,1,1,2,NA,NA,2
"Algeria","ArabBarometer",26,"2020","08",0.374084986906579,1,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",27,"2020","08",0.453582243761594,1,NA,3,1,1,NA,NA,3
"Algeria","ArabBarometer",29,"2020","08",0.0751615844933064,1,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",30,"2020","08",0.192395581538354,1,NA,1,2,3,NA,NA,4
"Algeria","ArabBarometer",31,"2020","08",0.0799504084924744,1,NA,1,4,2,NA,NA,4
"Algeria","ArabBarometer",32,"2020","08",0.615987014054932,0,NA,1,2,3,NA,NA,2
"Algeria","ArabBarometer",33,"2020","08",0.969870188788705,1,NA,6,3,3,NA,NA,2
"Algeria","ArabBarometer",36,"2020","08",1.5717615725914,1,NA,5,4,3,NA,NA,1
"Algeria","ArabBarometer",37,"2020","08",0.671180029087426,0,NA,1,2,2,NA,NA,2
"Algeria","ArabBarometer",38,"2020","08",1.5717615725914,1,NA,1,NA,NA,NA,NA,2
"Algeria","ArabBarometer",40,"2020","08",0.548169219554262,1,NA,2,3,3,NA,NA,3
"Algeria","ArabBarometer",47,"2020","08",1.00355432700442,1,NA,1,2,3,NA,NA,3
"Algeria","ArabBarometer",48,"2020","08",0.515335292077159,1,NA,2,3,2,NA,NA,2
"Algeria","ArabBarometer",49,"2020","08",0.291843053397584,1,NA,2,2,2,NA,NA,1
"Algeria","ArabBarometer",50,"2020","08",0.472957826583942,1,NA,1,2,3,NA,NA,1
"Algeria","ArabBarometer",51,"2020","08",0.671180029087426,0,NA,1,3,NA,NA,NA,2
"Algeria","ArabBarometer",52,"2020","08",2.23050538275248,0,NA,1,3,2,NA,NA,2
"Algeria","ArabBarometer",53,"2020","08",0.463921320858204,1,NA,1,3,2,NA,NA,3
"Algeria","ArabBarometer",54,"2020","08",0.590751978841505,0,NA,1,3,1,NA,NA,3
"Algeria","ArabBarometer",55,"2020","08",0.969870188788705,1,NA,2,2,3,NA,NA,NA
"Algeria","ArabBarometer",56,"2020","08",0.735444248800327,0,NA,1,4,3,NA,NA,1
"Algeria","ArabBarometer",57,"2020","08",0.969870188788705,1,NA,1,4,2,NA,NA,1
"Algeria","ArabBarometer",58,"2020","08",0.192395581538354,1,NA,1,2,3,NA,NA,1
"Algeria","ArabBarometer",59,"2020","08",2.23050538275248,0,NA,1,2,3,NA,NA,2
"Algeria","ArabBarometer",60,"2020","08",0.969870188788705,1,NA,2,2,3,NA,NA,1
"Algeria","ArabBarometer",61,"2020","08",2.047084673278,0,NA,1,4,3,NA,NA,3
"Algeria","ArabBarometer",62,"2020","08",0.969870188788705,1,NA,6,1,3,NA,NA,4
"Algeria","ArabBarometer",65,"2020","08",0.472957826583942,1,NA,1,3,1,NA,NA,2
"Algeria","ArabBarometer",67,"2020","08",0.472957826583942,1,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",68,"2020","08",1.26317275670839,0,NA,2,1,3,NA,NA,1
"Algeria","ArabBarometer",69,"2020","08",0.615987014054932,0,NA,1,3,3,NA,NA,4
"Algeria","ArabBarometer",70,"2020","08",0.969870188788705,1,NA,3,3,3,NA,NA,2
"Algeria","ArabBarometer",71,"2020","08",4,1,NA,6,1,NA,NA,NA,1
"Algeria","ArabBarometer",74,"2020","08",0.462347315082174,1,NA,1,3,3,NA,NA,2
"Algeria","ArabBarometer",75,"2020","08",1.71259288579145,1,NA,2,2,2,NA,NA,2
"Algeria","ArabBarometer",77,"2020","08",0.671180029087426,0,NA,1,2,2,NA,NA,2
"Algeria","ArabBarometer",78,"2020","08",0.198194727300648,0,NA,2,3,3,NA,NA,4
"Algeria","ArabBarometer",79,"2020","08",0.382008115733521,1,NA,6,2,2,NA,NA,2
"Algeria","ArabBarometer",80,"2020","08",3.18677593214521,0,NA,1,3,NA,NA,NA,4
"Algeria","ArabBarometer",81,"2020","08",0.0672667359095071,1,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",83,"2020","08",0.128135154264546,0,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",86,"2020","08",0.969870188788705,1,NA,6,2,2,NA,NA,3
"Algeria","ArabBarometer",87,"2020","08",1.5717615725914,1,NA,2,3,3,NA,NA,4
"Algeria","ArabBarometer",89,"2020","08",0.202977951248554,1,NA,1,4,3,NA,NA,4
"Algeria","ArabBarometer",90,"2020","08",0.268284479365789,1,NA,1,3,1,NA,NA,2
"Algeria","ArabBarometer",91,"2020","08",0.465438565652671,0,NA,1,1,3,NA,NA,1
"Algeria","ArabBarometer",92,"2020","08",0.832738193631882,0,NA,2,3,3,NA,NA,2
"Algeria","ArabBarometer",93,"2020","08",0.112151669308625,1,NA,6,2,3,NA,NA,1
"Algeria","ArabBarometer",94,"2020","08",0.802406357050192,1,NA,2,2,2,NA,NA,3
"Algeria","ArabBarometer",95,"2020","08",0.0296043074627269,1,NA,1,2,3,NA,NA,1
"Algeria","ArabBarometer",NA,"2020","08",1.71259288579145,1,NA,1,3,2,NA,NA,3
"Algeria","ArabBarometer",101,"2020","08",0.283717637637771,1,NA,1,3,3,NA,NA,1
"Algeria","ArabBarometer",102,"2020","08",1.05211115577607,1,NA,4,3,3,NA,NA,3
"Algeria","ArabBarometer",104,"2020","08",0.958930823198865,0,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",105,"2020","08",1.50222786235554,1,NA,4,3,3,NA,NA,3
"Algeria","ArabBarometer",106,"2020","08",0.472957826583942,1,NA,1,2,2,NA,NA,2
"Algeria","ArabBarometer",107,"2020","08",1.71259288579145,1,NA,1,3,3,NA,NA,3
"Algeria","ArabBarometer",108,"2020","08",0.821304848272157,0,NA,1,3,2,NA,NA,2
